Long_Name,Population,Primary_Category,Address,Zip,School_Latitude,School_Longitude,Attainment_Reading_Pct_ES,Attainment_Math_Pct_ES,School_Survey_Safety,Suspensions_Per_100_Students_Pct,Misconducts_To_Suspensions_Pct,Student_Attendance_Pct,Teacher_Attendance_Pct,Graduation_School_Pct,College_Enrollment_School_Pct,Chronic_Truancy_Pct,SAT_Grade_11_Score_School_Avg
Roberto Clemente Community Academy High School,703,HS,1147 N WESTERN AVE,60622,41.902626,-87.686906,,,VERY WEAK,70.4,18.4,82.7,96.6,64.2,49.4,89.2,850
Mancel Talcott Elementary School,472,ES,1840 W OHIO ST,60622,41.892405,-87.673723,66,54,WEAK,0.8,4.3,95.2,95.5,,,15,
Perkins Bass Elementary School,461,ES,1140 W 66TH ST,60621,41.774246,-87.653532,19,30,STRONG,8.4,16.4,94.3,94.3,,,27,
Benjamin E Mays Elementary Academy,400,ES,6656 S NORMAL BLVD,60621,41.772727,-87.637277,15,15,WEAK,3.2,33.3,91.5,95.8,,,60.2,
Englewood STEM High School,#N/A,HS,6835 S NORMAL,60621,41.770251,-87.639061,,,,,,,,,,,
Lillian R. Nicholson STEM Academy,461,ES,6006 S PEORIA ST,60621,41.784942,-87.647453,3,3,NOT ENOUGH DATA,6.2,30.4,94.1,93.7,,,25.3,
Carrie Jacobs Bond Elementary School,268,ES,7050 S MAY ST,60621,41.765361,-87.653018,10,12,STRONG,9.1,46.7,93.8,93.8,,,44.5,
Hope College Preparatory High School,22,HS,5515 S LOWE AVE,60621,41.793553,-87.641244,,,WEAK,32.3,26.4,83.7,90.8,40.4,44.2,81.2,767
Dr. Martin L. King Jr Academy of Social Justice,229,ES,644 W 71ST ST,60621,41.765335,-87.641335,4,10,WEAK,19.1,26.9,92.1,93.1,,,47.8,
Jesse Sherwood Elementary School,290,ES,245 W 57TH ST,60621,41.7908,-87.632279,67,63,STRONG,0.9,9.4,96.1,96.3,,,27.9,
Amos Alonzo Stagg Elementary School,402,ES,7424 S MORGAN ST,60621,41.758925,-87.649217,27,17,NEUTRAL,5.4,6.6,96,95.2,,,28,
Francis W Parker Elementary Community Academy,504,ES,6800 S STEWART AVE,60621,41.77078,-87.634086,26,32,VERY WEAK,8.5,24.1,93.9,94.8,,,24.4,
Oliver Wendell Holmes Elementary School,137,ES,955 W GARFIELD BLVD,60621,41.793788,-87.649795,21,11,STRONG,10.9,62.9,93.2,95.3,,,53.5,
Foster Park Elementary School,356,ES,8530 S WOOD ST,60620,41.738425,-87.668099,46,34,VERY STRONG,3.2,52.2,94.6,93.9,,,29.2,
William H Ryder Math & Science Specialty ES,403,ES,8716 S WALLACE ST,60620,41.735379,-87.638843,68,60,STRONG,0,0,96.3,93.4,,,20.4,
John W Cook Elementary School,351,ES,8150 S BISHOP ST,60620,41.745237,-87.659775,29,29,WEAK,4.5,38.6,92.4,93,,,51.1,
Clara Barton Elementary School,386,ES,7650 S WOLCOTT AVE,60620,41.754194,-87.670927,20,6,WEAK,8.6,61.3,93.7,94.9,,,37.9,
Rudyard Kipling Elementary School,286,ES,9351 S LOWE AVE,60620,41.723627,-87.639521,41,34,WEAK,0,0,95.8,94.9,,,27.3,
Mahalia Jackson Elementary School,383,ES,917 W 88TH ST,60620,41.734125,-87.646767,9,11,NEUTRAL,5.7,18.4,93.3,95.5,,,45.4,
Fort Dearborn Elementary School,358,ES,9025 S THROOP ST,60620,41.729673,-87.655481,33,26,WEAK,8.3,15.3,94.2,95.2,,,13.2,
Richard J Oglesby Elementary School,483,ES,7646 S GREEN ST,60620,41.75467,-87.645469,10,5,VERY WEAK,2.4,5.4,94,94.5,,,64.1,
Paul Cuffe Math-Science Technology Academy ES,304,ES,8324 S RACINE AVE,60620,41.742452,-87.653633,55,30,VERY STRONG,1.1,50,94.5,95.9,,,29.1,
Scott Joplin Elementary School,431,ES,7931 S HONORE ST,60620,41.749339,-87.669366,25,31,NEUTRAL,0.7,9.7,95.6,93,,,29.2,
John Harvard Elementary School of Excellence,367,ES,7525 S HARVARD,60620,41.757341,-87.632737,19,21,WEAK,4.4,3.1,96.1,96.5,,,31.9,
Oliver S Westcott Elementary School,400,ES,409 W 80TH ST,60620,41.748868,-87.634751,23,16,WEAK,0.7,9.7,93.3,94.7,,,53.8,
Walter Q Gresham Elementary School,325,ES,8524 S GREEN ST,60620,41.73892,-87.645025,42,50,WEAK,17.1,39,96.1,96.1,,,24.9,
Emil G Hirsch Metropolitan High School,103,HS,7740 S INGLESIDE AVE,60619,41.753748,-87.601727,,,NEUTRAL,23,22.8,80.2,93.8,44.2,21.9,100.8,781
Avalon Park Elementary School,268,ES,8045 S KENWOOD AVE,60619,41.748247,-87.591654,40,39,WEAK,2.8,26.7,95.1,94.7,,,38.5,
Frank L Gillespie Elementary School,465,ES,9301 S STATE ST,60619,41.725332,-87.623719,39,28,STRONG,0.4,22.2,92.9,93.7,,,55.1,
Jane A Neil Elementary School,291,ES,8555 S MICHIGAN AVE,60619,41.738407,-87.620933,22,8,VERY WEAK,0.4,1.4,89.4,94.6,,,56.2,
James Madison Elementary School,202,ES,7433 S DORCHESTER AVE,60619,41.759548,-87.590712,24,7,WEAK,6.3,28.8,94.5,95.4,,,54.5,
Harold Washington Elementary School,316,ES,9130 S UNIVERSITY AVE,60619,41.728534,-87.596257,19,14,VERY WEAK,9.8,52.2,94.3,95.2,,,27.1,
Martha Ruggles Elementary School,413,ES,7831 S PRAIRIE AVE,60619,41.751946,-87.618066,62,39,NEUTRAL,2.2,23.1,94.3,95.5,,,14,
Charles S Deneen Elementary School,502,ES,7240 S WABASH AVE,60619,41.76249,-87.623345,17,23,STRONG,26,24.9,93.5,95.4,,,34.8,
Mary E McDowell Elementary School,154,ES,1419 E 89TH ST,60619,41.733132,-87.589589,65,66,NOT ENOUGH DATA,0,0,96.9,95.3,,,23.8,
Arthur R Ashe Elementary School,312,ES,8505 S INGLESIDE AVE,60619,41.740184,-87.601174,17,17,VERY WEAK,5.9,30.4,92.5,94.3,,,39.8,
Arthur Dixon Elementary School,562,ES,8306 S SAINT LAWRENCE AVE,60619,41.743669,-87.609979,95,98,NEUTRAL,3.8,56.4,95.7,95.2,,,14.8,
John T Pirie Fine Arts & Academic Center ES,233,ES,650 E 85TH ST,60619,41.74034,-87.607891,49,26,VERY WEAK,14.8,23.6,94.5,95,,,29.6,
Henry O Tanner Elementary School,316,ES,7350 S EVANS AVE,60619,41.760673,-87.606791,36,28,NEUTRAL,4.8,14.9,92.7,95.4,,,54.9,
Paul Revere Elementary School,242,ES,1010 E 72ND ST,60619,41.764196,-87.600177,48,25,VERY WEAK,4.4,21.3,94,94.5,,,46.7,
Patrick Henry Elementary School,522,ES,4250 N SAINT LOUIS AVE,60618,41.958989,-87.715632,52,61,STRONG,0,0,95.1,94.8,,,27.2,
John J Audubon Elementary School,571,ES,3500 N HOYNE AVE,60618,41.945062,-87.681041,94,86,STRONG,0.9,22.7,95.6,95.6,,,6.2,
Grover Cleveland Elementary School,555,ES,3121 W BYRON ST,60618,41.952042,-87.706443,68,52,WEAK,0.8,11.4,95.1,96.5,,,23.4,
Federico Garcia Lorca Elementary School,761,ES,3231 N SPRINGFIELD AVE,60618,41.940026,-87.724783,63,64,WEAK,0,0,96,95.8,,,12.7,
John B Murphy Elementary School,543,ES,3539 W GRACE ST,60618,41.950078,-87.716832,67,49,NEUTRAL,2.2,13.6,95.3,95.7,,,9.9,
Avondale-Logandale Elementary School,#N/A,ES,3212 W GEORGE ST,60618,41.93397,-87.708041,43,57,WEAK,3,15.4,95.2,94.5,,,10.6,
Carl von Linne Elementary School,662,ES,3221 N SACRAMENTO AVE,60618,41.940009,-87.702635,90,94,STRONG,0,0,96.1,96.8,,,13.9,
Newton Bateman Elementary School,948,ES,4220 N RICHMOND ST,60618,41.95822,-87.702151,70,65,NEUTRAL,0.7,7.8,95.6,95.8,,,10.9,
Frank W Reilly Elementary School,852,ES,3650 W SCHOOL ST,60618,41.941094,-87.719541,58,48,WEAK,2.5,16.4,95.8,94.7,,,17.3,
Horace Mann Elementary School,333,ES,8050 S CHAPPEL AVE,60617,41.748274,-87.574816,38,31,WEAK,35.7,62.1,95.4,95.5,,,41.5,
Edward E. Sadlowski Elementary School,#N/A,ES,3930 E 105TH,60617,41.704859,-87.527985,55,47,NEUTRAL,0,0,94.4,95.6,,,21.3,
John L Marsh Elementary School,748,ES,9822 S EXCHANGE AVE,60617,41.716588,-87.552483,66,62,NEUTRAL,0,0,95.2,95.5,,,31.2,
Charles P Caldwell Academy of Math & Science ES,269,ES,8546 S CREGIER AVE,60617,41.739226,-87.580729,85,63,VERY STRONG,0.4,8.3,93.2,96.5,,,40.3,
Douglas Taylor Elementary School,417,ES,9912 S AVENUE H,60617,41.71547,-87.532971,53,49,WEAK,6.6,21.5,95,93.6,,,22,
Ninos Heroes Elementary Academic Center,335,ES,8344 S COMMERCIAL AVE,60617,41.743753,-87.551862,24,10,VERY WEAK,15,17,90.7,93.3,,,52.8,
Joseph Warren Elementary School,214,ES,9239 S JEFFERY AVE,60617,41.726763,-87.575353,67,60,NEUTRAL,13.2,62.3,93.4,95.1,,,41.4,
Jane Addams Elementary School,678,ES,10810 S AVENUE H,60617,41.698739,-87.532976,74,73,NEUTRAL,0,0,95.2,94,,,13.8,
Arnold Mireles Elementary Academy,450,ES,9000 S EXCHANGE AVE,60617,41.731717,-87.552788,29,20,VERY WEAK,5.4,11.4,93.2,95.6,,,29.3,
Thomas Hoyne Elementary School,236,ES,8905 S CRANDON AVE,60617,41.733338,-87.568228,69,60,WEAK,1.2,9.1,95,94.3,,,43.5,
Amelia Earhart Options for Knowledge ES,222,ES,1710 E 93RD ST,60617,41.726107,-87.582182,84,78,STRONG,0.4,11.1,96.2,94.9,,,5.5,
Orville T Bright Elementary School,297,ES,10740 S CALHOUN AVE,60617,41.699726,-87.562084,21,19,WEAK,4,18.5,95.5,94.7,,,14.5,
George Washington High School,1445,HS,3535 E 114TH ST,60617,41.688137,-87.53757,,,WEAK,9.4,1,87.9,95,81.8,56.7,46.6,956
Edward Coles Elementary Language Academy,388,ES,8441 S YATES BLVD,60617,41.741413,-87.56597,57,71,WEAK,1.3,8.5,95.4,94.9,,,40.3,
William K New Sullivan Elementary School,519,ES,8331 S MACKINAW AVE,60617,41.743829,-87.542928,35,34,STRONG,4,45.2,91.8,93.2,,,34.1,
James N Thorp Elementary School,309,ES,8914 S BUFFALO AVE,60617,41.733324,-87.54428,24,11,NEUTRAL,9.3,20.4,93.3,94.3,,,43.3,
Burnham Elementary Inclusive Academy,526,ES,9928 S CRANDON AVE,60617,41.714402,-87.567131,39,24,WEAK,1.3,7.3,94.2,94.5,,,43.3,
George Washington Elementary School,825,ES,3611 E 114TH ST,60617,41.688131,-87.536015,67,63,NEUTRAL,0.3,10,95.3,95,,,5.2,
James Ward Elementary School,555,ES,2701 S SHIELDS AVE,60616,41.84398,-87.635356,85,96,WEAK,0.9,8.6,98.2,94.8,,,1.8,
John B Drake Elementary School,333,ES,2710 S DEARBORN ST,60616,41.844043,-87.628553,17,8,STRONG,7.3,44.6,92.3,94.6,,,39.4,
John Charles Haines Elementary School,682,ES,247 W 23RD PL,60616,41.849958,-87.633806,90,98,WEAK,0,0,98.2,95.4,,,5.7,
Robert Healy Elementary School,1410,ES,3010 S PARNELL AVE,60616,41.839595,-87.640341,94,98,WEAK,7,0.7,96.6,95.4,,,4.4,
National Teachers Elementary Academy,735,ES,55 W CERMAK RD,60616,41.8528,-87.629308,72,66,NEUTRAL,7.2,9,95.9,96.8,,,19.1,
James R Doolittle Jr Elementary School,263,ES,535 E 35TH ST,60616,41.831121,-87.612275,5,4,VERY WEAK,9,18.7,92.1,95.5,,,49,
Edmond Burke Elementary School,414,ES,5356 S KING DR,60615,41.79676,-87.616141,13,20,NEUTRAL,2.8,8.6,93.2,95.3,,,60,
Walter Henri Dyett High School for the Arts,484,HS,555 E 51ST,60615,41.801204,-87.612239,,,WEAK,49.9,86.9,92.5,94.6,,,6.4,
Charles Kozminski Elementary Community Academy,258,ES,936 E 54TH ST,60615,41.798002,-87.602481,34,28,NEUTRAL,8.8,18.6,94,96.8,,,47,
Beulah Shoesmith Elementary School,355,ES,1330 E 50TH ST,60615,41.804294,-87.593905,69,55,NEUTRAL,2.2,18.2,95.2,96,,,15,
Kenwood Academy High School,1863,HS,5015 S BLACKSTONE AVE,60615,41.803772,-87.590421,99,99,NEUTRAL,15.8,16.4,92.9,95.2,85.7,77.1,25.2,1040
William C Reavis Math & Science Specialty ES,257,ES,834 E 50TH ST,60615,41.804174,-87.604925,39,47,NEUTRAL,1.6,7.5,94.4,94.9,,,48.5,
William H Prescott Elementary School,450,ES,1632 W WRIGHTWOOD AVE,60614,41.928841,-87.669528,90,88,VERY STRONG,0,0,95.6,96.5,,,8.7,
Louisa May Alcott College Preparatory ES,649,ES,2625 N ORCHARD ST,60614,41.92985,-87.646413,97,96,NEUTRAL,0.2,0.5,95,94.8,,,11.3,
Abraham Lincoln Elementary School,956,ES,615 W KEMPER PL,60614,41.924525,-87.644497,99,98,VERY STRONG,0.1,20,95.8,95.5,,,0.7,
Lincoln Park High School,2105,HS,2001 N ORCHARD ST,60614,41.918268,-87.646009,,,WEAK,2,28.8,90.2,95.1,87.7,80,28.5,1087
Joseph Brennemann Elementary School,414,ES,4251 N CLARENDON AVE,60613,41.959984,-87.649749,69,64,NOT ENOUGH DATA,1.2,15.2,97.5,96.7,,,9.5,
Lake View High School,1385,HS,4015 N ASHLAND AVE,60613,41.954764,-87.668953,,,WEAK,6.2,7.9,89.4,95.7,80.5,65.6,43.4,945
James G Blaine Elementary School,823,ES,1420 W GRACE ST,60613,41.950781,-87.664968,97,94,STRONG,0.9,61.5,96.1,95.1,,,15.6,
Ravenswood Elementary School,549,ES,4332 N PAULINA ST,60613,41.960746,-87.670922,94,89,STRONG,0.4,11.1,95.9,95.8,,,13.4,
Horace Greeley Elementary School,547,ES,832 W SHERIDAN RD,60613,41.95281,-87.65098,85,86,WEAK,0.7,44.4,95.6,95.9,,,8.1,
Jacob Beidler Elementary School,397,ES,3151 W WALNUT ST,60612,41.885321,-87.705855,23,24,STRONG,3,20.3,94.8,93.9,,,37.2,
William H Brown Elementary School,226,ES,54 N HERMITAGE AVE,60612,41.882997,-87.670682,26,15,NEUTRAL,3.1,16.1,93.3,93.7,,,31.6,
Morton School of Excellence,277,ES,431 N TROY ST,60612,41.889178,-87.705108,55,54,NEUTRAL,6.3,21.7,94.9,95.9,,,27.7,
Robert Nathaniel Dett Elementary School,310,ES,2131 W MONROE ST,60612,41.87987,-87.680315,4,2,STRONG,3.4,78.6,95,93.9,,,44.3,
Joseph Kellman Corporate Community ES,304,ES,3030 W ARTHINGTON ST,60612,41.870168,-87.702163,46,28,VERY WEAK,13.2,39.1,94.6,94.3,,,8.5,
Washington Irving Elementary School,385,ES,749 S OAKLEY BLVD,60612,41.871595,-87.683616,38,22,WEAK,1.5,1.1,93.9,93.8,,,22.6,
Ellen Mitchell Elementary School,420,ES,2233 W OHIO ST,60612,41.892082,-87.683185,87,78,VERY STRONG,1.3,20.8,95.7,97.1,,,7.2,
Willa Cather Elementary School,369,ES,2908 W WASHINGTON BLVD,60612,41.88295,-87.699187,41,27,VERY WEAK,7.9,86.1,92.1,95,,,33,
Manley Career Academy High School,83,HS,2935 W POLK ST,60612,41.870939,-87.699896,,,WEAK,55,15.4,73.9,92.5,40.4,30.9,102.3,759
William B Ogden Elementary School,1343,ES,24 W WALTON ST,60610,41.899976,-87.629297,94,86,NOT ENOUGH DATA,0.2,12.5,94.8,96.3,,,13.1,
George Manierre Elementary School,357,ES,1420 N HUDSON AVE,60610,41.908247,-87.639827,15,25,WEAK,0.3,1.5,94.3,94,,,46.4,
Ludwig Van Beethoven Elementary School,322,ES,25 W 47TH ST,60609,41.809135,-87.627137,22,8,WEAK,8.8,16.3,91.3,92.1,,,61.9,
Back of the Yards IB HS,1069,HS,2111 W 47TH ST,60609,41.808413,-87.677541,,,WEAK,4,73.2,94.1,96.2,91.3,,26.8,990
Velma F Thomas Early Childhood Center,165,ES,3625 S HOYNE AVE,60609,41.827775,-87.677542,,,NOT ENOUGH DATA,,,,94.2,,,,
Edward Tilden Career Community Academy HS,217,HS,4747 S UNION AVE,60609,41.80751,-87.642966,,,VERY WEAK,48.4,52.2,80.7,94.1,50,37.3,92.6,828
Richard J Daley Elementary Academy,563,ES,5024 S WOLCOTT AVE,60609,41.802343,-87.672206,34,24,WEAK,0.8,4.6,94.7,94.9,,,0.2,
Cesar E Chavez Multicultural Academic Center ES,932,ES,4747 S MARSHFIELD AVE,60609,41.807143,-87.666037,71,94,NEUTRAL,1.4,45.2,96.5,95.1,,,10.4,
William T Sherman Elementary School,261,ES,1000 W 52ND ST,60609,41.799766,-87.650221,14,17,VERY STRONG,11.1,29.8,95.9,94.5,,,27.1,
George B McClellan Elementary School,340,ES,3527 S WALLACE ST,60609,41.829993,-87.641103,80,75,WEAK,0,0,94.9,93.8,,,31,
Ellen H Richards Career Academy High School,224,HS,5009 S LAFLIN ST,60609,41.802881,-87.662278,,,VERY WEAK,47.8,49.8,76.9,93.8,56.9,50.7,104.2,803
John H Hamline Elementary School,547,ES,4747 S BISHOP ST,60609,41.807242,-87.661175,17,15,WEAK,6.3,18.1,92.7,95.3,,,28,
William H Seward Communication Arts Academy ES,616,ES,4600 S HERMITAGE AVE,60609,41.810333,-87.668772,43,32,WEAK,0.3,7.4,95.6,95.3,,,21.3,
Thomas A Hendricks Elementary Community Academy,238,ES,4316 S PRINCETON AVE,60609,41.815788,-87.633664,27,31,STRONG,8.3,22.4,93.4,96,,,39.1,
Alexander Graham Elementary School,411,ES,4436 S UNION AVE,60609,41.813304,-87.643344,54,47,NEUTRAL,10.4,33.3,92.7,95.1,,,37.1,
Arthur A Libby Elementary School,344,ES,5300 S LOOMIS BLVD,60609,41.797685,-87.659933,21,24,WEAK,5.5,31.3,95.4,95.2,,,39.3,
Nathanael Greene Elementary School,414,ES,3525 S HONORE ST,60609,41.829669,-87.671492,47,47,NOT ENOUGH DATA,0.4,1.4,94.8,94,,,16.4,
Robert Fulton Elementary School,371,ES,5300 S HERMITAGE AVE,60609,41.79758,-87.668436,26,31,VERY WEAK,6.8,92.9,94.7,94.5,,,33.8,
Agustin Lara Elementary Academy,410,ES,4619 S WOLCOTT AVE,60609,41.80977,-87.672182,55,59,WEAK,0.4,13.3,95.4,96.3,,,18.4,
Evergreen Academy Middle School,307,MS,3537 S PAULINA ST,60609,41.829356,-87.667817,65,47,NEUTRAL,5.3,37.2,96,96.2,,,19.9,
James Hedges Elementary School,610,ES,4747 S WINCHESTER AVE,60609,41.807112,-87.673327,37,27,VERY WEAK,0.4,9.7,95.8,94.8,,,34.7,
Dewey Elementary Academy of Fine Arts,398,ES,5415 S UNION AVE,60609,41.795646,-87.642652,21,27,STRONG,1.2,20,95.9,96.5,,,31,
Phillip D Armour Elementary School,265,ES,950 W 33RD PL,60608,41.833854,-87.650653,59,43,WEAK,0.7,14.3,94.6,95,,,15.1,
Thomas Chalmers Specialty Elementary School,333,ES,2745 W ROOSEVELT RD,60608,41.866435,-87.695259,20,20,WEAK,33.9,78.7,96.2,95.2,,,28.4,
Manuel Perez Elementary School,316,ES,1241 W 19TH ST,60608,41.856029,-87.65798,73,76,VERY STRONG,0,0,95.5,96.6,,,21.4,
Ambrose Plamondon Elementary School,134,ES,2642 W 15TH PL,60608,41.860259,-87.692526,72,50,NEUTRAL,0.7,11.1,95.7,95.6,,,26.4,
Peter Cooper Elementary Dual Language Academy,418,ES,1624 W 19TH ST,60608,41.856031,-87.667227,48,42,NOT ENOUGH DATA,0,0,95.7,95.5,,,11.8,
Josiah Pickard Elementary School,442,ES,2301 W 21ST PL,60608,41.8529,-87.683291,73,93,WEAK,0,0,96.3,96.3,,,0.7,
John A Walsh Elementary School,300,ES,2015 S PEORIA ST,60608,41.854836,-87.648086,51,45,WEAK,0,0,94,94.7,,,28.1,
Edward Everett Elementary School,153,ES,3419 S BELL AVE,60608,41.831555,-87.68131,74,62,NOT ENOUGH DATA,2,2.8,96,96,,,15.3,
Benito Juarez Community Academy High School,1708,HS,1450 W CERMAK RD,60608,41.852667,-87.663732,,,WEAK,7.8,68,86,95.2,79.7,52.2,71.7,876
John Greenleaf Whittier Elementary School,204,ES,1900 W 23RD ST,60608,41.850481,-87.673392,46,33,WEAK,0,0,95.4,93.9,,,22.1,
Pilsen Elementary Community Academy,307,ES,1420 W 17TH ST,60608,41.858849,-87.662209,39,51,VERY WEAK,3.4,32.4,94.8,96.9,,,14.4,
William F Finkl Elementary School,318,ES,2332 S WESTERN AVE,60608,41.849215,-87.685668,57,54,NEUTRAL,1,10.3,93.3,95.1,,,36.8,
Charles N Holden Elementary School,474,ES,1104 W 31ST ST,60608,41.838027,-87.653792,69,90,WEAK,1.2,27.3,95.4,95.6,,,14.2,
Joseph Jungman Elementary School,283,ES,1746 S MILLER ST,60608,41.858065,-87.652302,63,45,STRONG,0.4,25,95,94.8,,,31.3,
Orozco Fine Arts & Sciences Elementary School,542,ES,1940 W 18TH ST,60608,41.857755,-87.67521,77,68,WEAK,2.7,11.7,96.1,94.6,,,14.4,
Irma C Ruiz Elementary School,666,ES,2410 S LEAVITT ST,60608,41.848101,-87.680745,57,56,NEUTRAL,1.3,22.7,92.7,93.4,,,7.8,
